#ID	start	end	strand
BAA31757.3	92527	2502	forward
BAA31758.1	2589	3464	forward
BAA31759.1	3675	5432	forward
BAA31760.1	5432	6937	forward
BAA31761.1	6939	8162	forward
BAA31762.1	8193	8627	forward
BAA31763.1	8624	9178	forward
BAA31764.1	9193	9540	forward
BAA31765.1	9537	10136	forward
BAA31766.1	10133	11110	forward
BAA31767.1	11473	12321	forward
BAA31768.1	12308	12820	forward
BAA31769.1	12995	13711	forward
BAA31770.1	13803	14204	forward
BAA31771.1	14347	14688	forward
BAA31772.3	14733	15554	forward
BAA31773.1	16119	16610	forward
BAA31774.1	16612	19608	forward
BAA31775.1	19658	21778	forward
BAA31776.1	21782	23221	forward
BAA31777.1	23512	23796	forward
BAA31778.1	24316	25056	forward
BAA31779.1	25062	24745	reverse
BAA31780.2	26294	25341	reverse
BAA31781.1	26056	26385	forward
BAA31782.2	27543	26923	reverse
BAA31783.2	28223	27540	reverse
BAA31784.1	28682	28900	forward
BAA31785.1	28902	29207	forward
BAA31786.1	29208	30014	forward
BAA31787.1	31626	30736	reverse
BAA31788.1	31949	31623	reverse
BAA31789.1	32004	32249	forward
BAA31790.2	32837	34003	forward
BAA31791.1	34003	34974	forward
BAA31792.1	36274	37998	forward
BAA31793.1	38075	38977	forward
BAA31794.1	38981	39286	forward
BAA31795.1	39363	40046	forward
BAA31796.1	40162	40716	forward
BAA31797.1	40762	41538	forward
BAA31798.2	41411	41983	forward
BAA31799.1	42079	42381	forward
BAA31800.1	42428	42850	forward
BAA31801.1	43157	43546	forward
BAA31802.2	44034	44264	forward
BAA31803.1	44316	45677	forward
BAA31804.1	45724	46287	forward
BAA31805.1	46828	46373	reverse
BAA31806.1	47130	47582	forward
BAA31807.1	47938	49896	forward
BAA31808.1	49951	50385	forward
BAA31809.1	50382	51143	forward
BAA31810.1	51375	51533	forward
BAA31811.2	51715	53688	forward
BAA31812.1	53756	54187	forward
BAA31813.1	55120	54761	reverse
BAA31814.1	55302	55712	forward
BAA31815.1	55981	65490	forward
BAA31816.1	65582	65854	forward
BAA31817.1	66284	65781	reverse
BAA31818.1	66314	67729	forward
BAA31819.1	67749	68495	forward
BAA31820.1	68554	69414	forward
BAA31821.1	69517	70077	forward
BAA31822.1	70667	71128	forward
BAA31823.1	71421	71759	forward
BAA31824.1	71999	72253	forward
BAA31825.1	72556	73413	forward
BAA31826.1	74325	74609	forward
BAA31827.1	74609	74884	forward
BAA31828.1	74979	75185	forward
BAA31829.1	75650	75270	reverse
BAA31830.1	76320	75544	reverse
BAA31831.1	76526	76062	reverse
BAA31832.1	76888	79098	forward
BAA31833.1	79190	79531	forward
BAA31834.1	79689	80576	forward
BAA31836.1	80757	84659	forward
BAA31837.1	87222	87659	forward
BAA31838.1	87659	88765	forward
BAA31839.1	88855	90576	forward
BAA31840.1	90650	91648	forward
